#Toss,1A-H,1A-T,1A-CH,1A-CT,10B-H,10B-T,10B-CH,10B-CT
1,0,1,0,1,0,1,0,1
2,1,0,1,1,1,0,1,1
3,0,1,1,2,0,1,1,2
4,1,0,2,2,1,0,2,2
5,1,0,3,2,0,1,2,3
6,0,1,3,3,0,1,2,4
7,1,0,4,3,1,0,3,4
8,1,0,5,3,0,1,3,5
9,0,1,5,4,0,1,3,6
10,1,0,6,4,1,0,4,6
11,0,1,6,5,0,1,4,7
12,1,0,7,5,1,0,5,7
13,1,0,8,5,1,0,6,7
14,0,1,8,6,1,0,7,7
15,0,1,8,7,0,1,7,8
16,1,0,9,7,1,0,8,8
17,1,0,10,7,1,0,9,8
18,0,1,10,8,1,0,10,8
19,1,0,11,8,1,0,11,8
20,1,0,12,8,0,1,11,9
21,0,1,12,9,1,0,12,9
22,1,0,13,9,0,1,12,10
23,0,1,13,10,1,0,13,10
24,1,0,14,10,0,1,13,11
25,1,0,15,10,0,1,13,12
26,0,1,15,11,1,0,14,12
27,0,1,15,12,0,1,14,13
28,0,1,15,13,1,0,15,13
29,1,0,16,13,0,1,15,14
30,1,0,17,13,0,1,15,15
31,0,1,17,14,0,1,15,16
32,0,1,17,15,1,0,16,16
33,0,1,17,16,1,0,17,16
34,0,1,17,17,1,0,18,16
35,1,0,18,17,0,1,18,17
36,1,0,19,17,0,1,18,18
37,0,1,19,18,1,0,19,18
38,1,0,20,18,0,1,19,19
39,0,1,20,19,0,1,19,20
40,0,1,20,20,1,0,20,20
41,0,1,20,21,0,1,20,21
42,0,1,20,22,1,0,21,21
43,1,0,21,22,1,0,22,21
44,0,1,21,23,0,1,22,22
45,0,1,21,24,0,1,22,23
46,0,1,21,25,1,0,23,23
47,1,0,22,25,1,0,24,23
48,1,0,23,25,1,0,25,23
49,0,1,23,26,0,1,25,24
50,1,0,24,26,1,0,26,24
51,0,1,24,27,1,0,27,24
52,1,0,25,27,1,0,28,24
53,0,1,25,28,0,1,28,25
54,1,0,26,28,0,1,28,26
55,1,0,27,28,1,0,29,26
56,1,0,28,28,0,1,29,27
57,1,0,29,28,0,1,29,28
58,1,0,30,28,1,0,30,28
59,0,1,30,29,0,1,30,29
60,0,1,30,30,0,1,30,30
61,1,0,31,30,0,1,30,31
62,0,1,31,31,1,0,31,31
63,1,0,32,31,0,1,31,32
64,1,0,33,31,1,0,32,32
65,0,1,33,32,0,1,32,33
66,1,0,34,32,1,0,33,33
67,1,0,35,32,0,1,33,34
68,0,1,35,33,1,0,34,34
69,1,0,36,33,1,0,35,34
70,1,0,37,33,0,1,35,35
71,0,1,37,34,0,1,35,36
72,0,1,37,35,1,0,36,36
73,1,0,38,35,1,0,37,36
74,1,0,39,35,0,1,37,37
75,1,0,40,35,1,0,38,37
76,0,1,40,36,1,0,39,37
77,1,0,41,36,1,0,40,37
78,1,0,42,36,0,1,40,38
79,1,0,43,36,1,0,41,38
80,0,1,43,37,1,0,42,38
81,0,1,43,38,1,0,43,38
82,1,0,44,38,1,0,44,38
83,0,1,44,39,0,1,44,39
84,1,0,45,39,0,1,44,40
85,0,1,45,40,1,0,45,40
86,1,0,46,40,1,0,46,40
87,0,1,46,41,0,1,46,41
88,1,0,47,41,1,0,47,41
89,0,1,47,42,1,0,48,41
90,0,1,47,43,1,0,49,41
91,0,1,47,44,0,1,49,42
92,1,0,48,44,1,0,50,42
93,0,1,48,45,1,0,51,42
94,1,0,49,45,0,1,51,43
95,1,0,50,45,1,0,52,43
96,0,1,50,46,1,0,53,43
97,0,1,50,47,1,0,54,43
98,0,1,50,48,0,1,54,44
99,1,0,51,48,1,0,55,44
100,1,0,52,48,1,0,56,44
