#Toss,1B-H,1B-T,1B-CH,1B-CT,10A-H,10A-T,10A-CH,10A-CT
1,1,0,1,0,0,1,0,1
2,1,0,2,0,0,1,0,2
3,1,0,3,0,1,0,1,2
4,0,1,3,1,0,1,1,3
5,1,0,4,1,1,0,2,3
6,0,1,4,2,1,0,3,3
7,1,0,5,2,0,1,3,4
8,1,0,6,2,1,0,4,4
9,1,0,7,2,1,0,5,4
10,0,1,7,3,0,1,5,5
11,1,0,8,3,0,1,5,6
12,0,1,8,4,0,1,5,7
13,1,0,9,4,0,1,5,8
14,1,0,10,4,0,1,5,9
15,1,0,11,4,1,0,6,9
16,0,1,11,5,0,1,6,10
17,1,0,12,5,1,0,7,10
18,1,0,13,5,1,0,8,10
19,0,1,13,6,0,1,8,11
20,1,0,14,6,0,1,8,12
21,0,1,14,7,1,0,9,12
22,1,0,15,7,0,1,9,13
23,0,1,15,8,1,0,10,13
24,1,0,16,8,1,0,11,13
25,1,0,17,8,1,0,12,13
26,0,1,17,9,1,0,13,13
27,1,0,18,9,0,1,13,14
28,0,1,18,10,1,0,14,14
29,1,0,19,10,1,0,15,14
30,0,1,19,11,1,0,16,14
31,1,0,20,11,0,1,16,15
32,1,0,21,11,0,1,16,16
33,1,0,22,11,0,1,16,17
34,1,0,23,11,0,1,16,18
35,1,0,24,11,0,1,16,19
36,0,1,24,12,1,0,17,19
37,1,0,25,12,0,1,17,20
38,0,1,25,13,0,1,17,21
39,1,1,26,14,0,1,17,22
40,0,0,26,14,0,1,17,23
41,1,1,27,15,1,0,18,23
42,0,0,27,15,1,0,19,23
43,1,1,28,16,1,0,20,23
44,0,0,28,16,0,1,20,24
45,1,0,29,16,0,1,20,25
46,1,0,30,16,1,0,21,25
47,1,0,31,16,1,0,22,25
48,1,0,32,16,1,0,23,25
49,1,0,33,16,1,0,24,25
50,1,0,34,16,1,0,25,25
51,0,1,34,17,1,0,26,25
52,1,0,35,17,0,1,26,26
53,1,0,36,17,0,1,26,27
54,0,1,36,18,1,0,27,27
55,1,1,37,19,0,1,27,28
56,0,0,37,19,1,0,28,28
57,1,0,38,19,0,1,28,29
58,0,1,38,20,1,0,29,29
59,1,0,39,20,0,1,29,30
60,0,1,39,21,1,0,30,30
61,1,0,40,21,0,1,30,31
62,1,0,41,21,1,0,31,31
63,1,0,42,21,0,1,31,32
64,1,0,43,21,1,0,32,32
65,0,1,43,22,1,0,33,32
66,1,0,44,22,1,0,34,32
67,1,0,45,22,1,0,35,32
68,0,1,45,23,1,0,36,32
69,1,0,46,23,1,0,37,32
70,0,1,46,24,1,0,38,32
71,1,0,47,24,1,0,39,32
72,1,0,48,24,1,0,40,32
73,0,1,48,25,0,1,40,33
74,1,0,49,25,0,1,40,34
75,0,1,49,26,1,0,41,34
76,1,0,50,26,0,1,41,35
77,0,1,50,27,0,1,41,36
78,0,1,50,28,0,1,41,37
79,1,0,51,28,0,1,41,38
80,1,0,52,28,0,1,41,39
81,1,0,53,28,0,1,41,40
82,0,1,53,29,1,0,42,40
83,0,1,53,30,1,0,43,40
84,0,1,53,31,1,0,44,40
85,0,1,53,32,0,1,44,41
86,0,1,53,33,1,0,45,41
87,0,1,53,34,0,1,45,42
88,0,1,53,35,1,0,46,42
89,0,1,53,36,0,1,46,43
90,0,1,53,37,1,0,47,43
91,0,1,53,38,0,1,47,44
92,0,1,53,39,1,0,48,44
93,0,1,53,40,0,1,48,45
94,0,1,53,41,1,0,49,45
95,0,1,53,42,0,1,49,46
96,0,1,53,43,1,0,50,46
97,0,1,53,44,1,0,51,46
98,0,1,53,45,1,0,52,46
99,0,1,53,46,0,1,52,47
100,0,1,53,47,0,1,52,48
