#Toss,1A-H,1A-T,1A-CH,1A-CT,10B-H,10B-T,10B-CH,10B-CT
1,1,0,1,0,1,0,1,0
2,0,1,1,1,0,1,1,1
3,1,0,2,1,0,1,1,2
4,1,0,3,1,0,1,1,3
5,0,1,3,2,1,0,2,3
6,0,1,3,3,1,0,3,3
7,0,1,3,4,0,1,3,4
8,1,0,4,4,1,0,4,4
9,1,0,5,4,0,1,4,5
10,1,0,6,4,0,1,4,6
11,1,0,7,4,0,1,4,7
12,1,0,8,4,1,0,5,7
13,0,1,8,5,0,1,5,8
14,0,1,8,6,1,0,6,8
15,0,1,8,7,0,1,6,9
16,1,0,9,7,1,0,7,9
17,1,0,10,7,0,1,7,10
18,0,1,10,8,1,0,8,10
19,1,0,11,8,0,1,8,11
20,0,1,11,9,1,0,9,11
21,1,0,12,9,1,0,10,11
22,1,0,13,9,1,0,11,11
23,0,1,13,10,0,1,11,12
24,1,0,14,10,0,1,11,13
25,0,1,14,11,1,0,12,13
26,1,0,15,11,1,0,13,13
27,0,1,15,12,0,1,13,14
28,1,0,16,12,1,0,14,14
29,1,0,17,12,1,0,15,14
30,0,1,17,13,0,1,15,15
31,1,0,18,13,1,0,16,15
32,0,1,18,14,1,0,17,15
33,0,1,18,15,0,1,17,16
34,1,0,19,15,0,1,17,17
35,0,1,19,16,1,0,18,17
36,0,1,19,17,1,0,19,17
37,0,1,19,18,0,1,19,18
38,1,0,20,18,0,1,19,19
39,0,1,20,19,1,0,20,19
40,1,0,21,19,0,1,20,20
41,1,0,22,19,1,0,21,20
42,1,0,23,19,1,0,22,20
43,0,1,23,20,1,0,23,20
44,1,0,24,20,1,0,24,20
45,0,1,24,21,0,1,24,21
46,1,0,25,21,0,1,24,22
47,0,1,25,22,0,1,24,23
48,1,0,26,22,0,1,24,24
49,0,1,26,23,1,0,25,24
50,0,1,26,24,1,0,26,24
51,0,1,26,25,1,0,27,24
52,1,0,27,25,1,0,28,24
53,1,0,28,25,0,1,28,25
54,0,1,28,26,0,1,28,26
55,0,1,28,27,1,0,29,26
56,1,0,29,27,1,0,30,26
57,0,1,29,28,0,1,30,27
58,0,1,29,29,1,0,31,27
59,0,1,29,30,0,1,31,28
60,0,1,29,31,0,1,31,29
61,0,1,29,32,1,0,32,29
62,1,0,30,32,0,1,32,30
63,1,0,31,32,1,0,33,30
64,0,1,31,33,0,1,33,31
65,0,1,31,34,1,0,34,31
66,0,1,31,35,0,1,34,32
67,1,0,32,35,1,0,35,32
68,1,0,33,35,0,1,35,33
69,1,0,34,35,1,0,36,33
70,0,1,34,36,0,1,36,34
71,1,0,35,36,0,1,36,35
72,0,1,35,37,1,0,37,35
73,1,0,36,37,1,0,38,35
74,0,1,36,38,1,0,39,35
75,1,0,37,38,1,0,40,35
76,1,0,38,38,0,1,40,36
77,0,1,38,39,1,0,41,36
78,0,1,38,40,1,0,42,36
79,0,1,38,41,1,0,43,36
80,0,1,38,42,0,1,43,37
81,0,1,38,43,1,0,44,37
82,0,1,38,44,1,0,45,37
83,0,1,38,45,1,0,46,37
84,1,0,39,45,0,1,46,38
85,0,1,39,46,1,0,47,38
86,0,1,39,47,0,1,47,39
87,0,1,39,48,1,0,48,39
88,0,1,39,49,0,1,48,40
89,1,0,40,49,1,0,49,40
90,0,1,40,50,1,0,50,40
91,0,1,40,51,1,0,51,40
92,0,1,40,52,0,1,51,41
93,1,0,41,52,1,0,52,41
94,0,1,41,53,1,0,53,41
95,1,0,42,53,1,0,54,41
96,0,1,42,54,0,1,54,42
97,0,1,42,55,0,1,54,43
98,0,1,42,56,0,1,54,44
99,1,0,43,56,0,1,54,45
100,0,1,43,57,0,1,54,46
