#Toss,1B-H,1B-T,1B-CH,1B-CT,5A-H,5A-T,5A-CH,5A-CT
1,0,1,0,1,1,0,1,0
2,0,1,0,2,1,0,2,0
3,1,0,1,2,1,0,3,0
4,0,1,1,3,0,1,3,1
5,1,0,2,3,0,1,3,2
6,1,0,3,3,1,0,4,2
7,1,0,4,3,1,0,5,2
8,0,1,4,4,1,0,6,2
9,0,1,4,5,0,1,6,3
10,0,1,4,6,1,0,7,3
11,1,0,5,6,0,1,7,4
12,0,1,5,7,1,0,8,4
13,0,1,5,8,0,1,8,5
14,0,1,5,9,0,1,8,6
15,1,0,6,9,1,0,9,6
16,1,0,7,9,0,1,9,7
17,1,0,8,9,0,1,9,8
18,1,0,9,9,0,1,9,9
19,1,0,10,9,0,1,9,10
20,0,1,10,10,0,1,9,11
21,1,0,11,10,1,0,10,11
22,1,0,12,10,1,0,11,11
23,0,1,12,11,1,0,12,11
24,0,1,12,12,1,0,13,11
25,1,0,13,12,0,1,13,12
26,0,1,13,13,1,0,14,12
27,1,0,14,13,0,1,14,13
28,0,1,14,14,1,0,15,13
29,1,0,15,14,0,1,15,14
30,0,1,15,15,1,0,16,14
31,0,1,15,16,1,0,17,14
32,0,1,15,17,0,1,17,15
33,0,1,15,18,1,0,18,15
34,1,0,16,18,1,0,19,15
35,1,0,17,18,0,1,19,16
36,1,0,18,18,0,1,19,17
37,1,0,19,18,0,1,19,18
38,1,0,20,18,1,0,20,18
39,0,1,20,19,1,0,21,18
40,0,1,20,20,1,0,22,18
41,0,1,20,21,0,1,22,19
42,1,0,21,21,0,1,22,20
43,0,1,21,22,0,1,22,21
44,1,0,22,22,0,1,22,22
45,1,0,23,22,1,0,23,22
46,1,0,24,22,1,0,24,22
47,0,1,24,23,1,0,25,22
48,0,1,24,24,0,1,25,23
49,1,0,25,24,0,1,25,24
50,0,1,25,25,1,0,26,24
51,0,1,25,26,0,1,26,25
52,1,0,26,26,1,0,27,25
53,0,1,26,27,1,0,28,25
54,1,0,27,27,0,1,28,26
55,1,0,28,27,1,0,29,26
56,1,0,29,27,0,1,29,27
57,0,1,29,28,1,0,30,27
58,1,0,30,28,1,0,31,27
59,1,0,31,28,1,0,32,27
60,0,1,31,29,1,0,33,27
61,1,0,32,29,1,0,34,27
62,0,1,32,30,1,0,35,27
63,0,1,32,31,0,1,35,28
64,0,1,32,32,0,1,35,29
65,1,0,33,32,1,0,36,29
66,1,0,34,32,0,1,36,30
67,0,1,34,33,1,0,37,30
68,1,0,35,33,1,0,38,30
69,0,1,35,34,1,0,39,30
70,1,0,36,34,1,0,40,30
71,0,1,36,35,0,1,40,31
72,1,0,37,35,0,1,40,32
73,0,1,37,36,1,0,41,32
74,0,1,37,37,1,0,42,32
75,1,0,38,37,0,1,42,33
76,0,1,38,38,0,1,42,34
77,1,0,39,38,1,0,43,34
78,1,0,40,38,0,1,43,35
79,0,1,40,39,0,1,43,36
80,1,0,41,39,1,0,44,36
81,1,0,42,39,1,0,45,36
82,0,1,42,40,1,0,46,36
83,0,1,42,41,0,1,46,37
84,1,0,43,41,1,0,47,37
85,0,1,43,42,0,1,47,38
86,1,0,44,42,1,0,48,38
87,0,1,44,43,1,0,49,38
88,0,1,44,44,1,0,50,38
89,0,1,44,45,0,1,50,39
90,1,0,45,45,0,1,50,40
91,1,0,46,45,0,1,50,41
92,0,1,46,46,1,0,51,41
93,1,0,47,46,0,1,51,42
94,0,1,47,47,0,1,51,43
95,1,0,48,47,0,1,51,44
96,1,0,49,47,1,0,52,44
97,1,0,50,47,0,1,52,45
98,0,1,50,48,1,0,53,45
99,1,0,51,48,0,1,53,46
100,0,1,51,49,1,0,54,46
