#Toss,5B-H,5B-T,5B-CH,5B-CT,10B-H,10B-T,10B-CH,10B-CT
1,1,0,1,0,0,1,0,1
2,1,0,2,0,0,1,0,2
3,1,0,3,0,1,0,1,2
4,0,1,3,1,0,1,1,3
5,0,1,3,2,0,1,1,4
6,1,0,4,2,1,0,2,4
7,0,1,4,3,0,1,2,5
8,1,0,5,3,1,0,3,5
9,1,0,6,3,1,0,4,5
10,0,1,6,4,0,1,4,6
11,0,1,6,5,1,0,5,6
12,1,0,7,5,1,0,6,6
13,0,1,7,6,1,0,7,6
14,0,1,7,7,0,1,7,7
15,0,1,7,8,0,1,7,8
16,1,0,8,8,1,0,8,8
17,1,0,9,8,0,1,8,9
18,1,0,10,8,0,1,8,10
19,1,0,11,8,1,0,9,10
20,0,1,11,9,1,0,10,10
21,1,0,12,9,0,1,10,11
22,0,1,12,10,1,0,11,11
23,0,1,12,11,0,1,11,12
24,1,0,13,11,1,0,12,12
25,0,1,13,12,1,0,13,12
26,1,0,14,12,1,0,14,12
27,0,1,14,13,0,1,14,13
28,0,1,14,14,1,0,15,13
29,0,1,14,15,1,0,16,13
30,1,0,15,15,1,0,17,13
31,1,0,16,15,0,1,17,14
32,1,0,17,15,0,1,17,15
33,1,0,18,15,1,0,18,15
34,1,0,19,15,0,1,18,16
35,1,0,20,15,0,1,18,17
36,1,0,21,15,0,1,18,18
37,1,0,22,15,1,0,19,18
38,0,1,22,16,0,1,19,19
39,0,1,22,17,1,0,20,19
40,0,1,22,18,0,1,20,20
41,0,1,22,19,1,0,21,20
42,1,0,23,19,0,1,21,21
43,1,0,24,19,0,1,21,22
44,0,1,24,20,1,0,22,22
45,1,0,25,20,1,0,23,22
46,0,1,25,21,0,1,23,23
47,0,1,25,22,1,0,24,23
48,0,1,25,23,0,1,24,24
49,0,1,25,24,0,1,24,25
50,1,0,26,24,1,0,25,25
51,1,0,27,24,0,1,25,26
52,1,0,28,24,0,1,25,27
53,1,0,29,24,1,0,26,27
54,1,0,30,24,1,0,27,27
55,1,0,31,24,0,1,27,28
56,1,0,32,24,0,1,27,29
57,1,0,33,24,1,0,28,29
58,0,1,33,25,1,0,29,29
59,1,0,34,25,1,0,30,29
60,0,1,34,26,0,1,30,30
61,1,0,35,26,0,1,30,31
62,0,1,35,27,0,1,30,32
63,0,1,35,28,0,1,30,33
64,0,1,35,29,1,0,31,33
65,1,0,36,29,0,1,31,34
66,1,0,37,29,0,1,31,35
67,0,1,37,30,1,0,32,35
68,0,1,37,31,0,1,32,36
69,0,1,37,32,0,1,32,37
70,1,0,38,32,0,1,32,38
71,1,0,39,32,0,1,32,39
72,1,0,40,32,0,1,32,40
73,0,1,40,33,0,1,32,41
74,1,0,41,33,1,0,33,41
75,0,1,41,34,1,0,34,41
76,1,0,42,34,0,1,34,42
77,1,0,43,34,1,0,35,42
78,0,1,43,35,1,0,36,42
79,0,1,43,36,1,0,37,42
80,1,0,44,36,0,1,37,43
81,0,1,44,37,0,1,37,44
82,1,0,45,37,0,1,37,45
83,1,0,46,37,0,1,37,46
84,1,0,47,37,1,0,38,46
85,0,1,47,38,0,1,38,47
86,1,0,48,38,0,1,38,48
87,1,0,49,38,1,0,39,48
88,1,0,50,38,0,1,39,49
89,1,0,51,38,0,1,39,50
90,0,1,51,39,0,1,39,51
91,1,0,52,39,1,0,40,51
92,0,1,52,40,1,0,41,51
93,0,1,52,41,0,1,41,52
94,1,0,53,41,0,1,41,53
95,0,1,53,42,0,1,41,54
96,1,0,54,42,1,0,42,54
97,0,1,54,43,1,0,43,54
98,0,1,54,44,1,0,44,54
99,1,0,55,44,1,0,45,54
100,1,0,56,44,0,1,45,55
